2024-05-23 21:34:47 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (8cf9079a-88a9-4e25-982a-7bfd3d54013b)] -> xpath: //span[contains(text(), 'Free: Debian, CentOS, CoreOS, Ubuntu or BYOL (Bring Your Own License)')]/ancestor::li]
2024-05-23 21:34:47 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (8cf9079a-88a9-4e25-982a-7bfd3d54013b)] -> xpath: //span[contains(text(), 'Free: Debian, CentOS, CoreOS, Ubuntu or BYOL (Bring Your Own License)')]/ancestor::li]clicked
2024-05-23 21:34:47 INFO  :60 - Operation system software 'Free: Debian, CentOS, CoreOS, Ubuntu or BYOL (Bring Your Own License)' selected
2024-05-23 21:34:47 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (8cf9079a-88a9-4e25-982a-7bfd3d54013b)] -> xpath: //label[contains(text(), 'Regular')]/parent::*]
2024-05-23 21:34:47 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (8cf9079a-88a9-4e25-982a-7bfd3d54013b)] -> xpath: //label[contains(text(), 'Regular')]/parent::*]clicked
2024-05-23 21:34:47 INFO  :63 - Provision model 'Regular' selected
2024-05-23 21:34:47 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (8cf9079a-88a9-4e25-982a-7bfd3d54013b)] -> xpath: //span[contains(text(), 'Machine Family')]/ancestor::div[2]]
2024-05-23 21:34:48 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (8cf9079a-88a9-4e25-982a-7bfd3d54013b)] -> xpath: //span[contains(text(), 'Machine Family')]/ancestor::div[2]]clicked
2024-05-23 21:34:48 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (8cf9079a-88a9-4e25-982a-7bfd3d54013b)] -> xpath: //span[contains(text(), 'General Purpose')]/ancestor::li]
2024-05-23 21:34:48 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (8cf9079a-88a9-4e25-982a-7bfd3d54013b)] -> xpath: //span[contains(text(), 'General Purpose')]/ancestor::li]clicked
2024-05-23 21:34:48 INFO  :67 - Machine family 'General Purpose' selected
2024-05-23 21:34:48 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (8cf9079a-88a9-4e25-982a-7bfd3d54013b)] -> xpath: //span[contains(text(), 'Series')]/ancestor::div[2]]
2024-05-23 21:34:48 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (8cf9079a-88a9-4e25-982a-7bfd3d54013b)] -> xpath: //span[contains(text(), 'Series')]/ancestor::div[2]]clicked
2024-05-23 21:34:48 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (8cf9079a-88a9-4e25-982a-7bfd3d54013b)] -> xpath: //span[contains(text(), 'N1')]/ancestor::li]
2024-05-23 21:34:49 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (8cf9079a-88a9-4e25-982a-7bfd3d54013b)] -> xpath: //span[contains(text(), 'N1')]/ancestor::li]clicked
2024-05-23 21:34:49 INFO  :71 - Series 'N1' selected
2024-05-23 21:34:49 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (8cf9079a-88a9-4e25-982a-7bfd3d54013b)] -> xpath: //span[contains(text(), 'Machine type')]/ancestor::div[2]]
2024-05-23 21:34:49 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (8cf9079a-88a9-4e25-982a-7bfd3d54013b)] -> xpath: //span[contains(text(), 'Machine type')]/ancestor::div[2]]clicked
2024-05-23 21:34:49 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (8cf9079a-88a9-4e25-982a-7bfd3d54013b)] -> xpath: //span[contains(text(), 'n1-standard-8')]/ancestor::li]
2024-05-23 21:34:49 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (8cf9079a-88a9-4e25-982a-7bfd3d54013b)] -> xpath: //span[contains(text(), 'n1-standard-8')]/ancestor::li]clicked
2024-05-23 21:34:49 INFO  :75 - machine type 'n1-standard-8' selected
2024-05-23 21:34:49 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (8cf9079a-88a9-4e25-982a-7bfd3d54013b)] -> xpath: //span[contains(text(), 'Local SSD')]/ancestor::div[2]]
2024-05-23 21:34:50 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (8cf9079a-88a9-4e25-982a-7bfd3d54013b)] -> xpath: //span[contains(text(), 'Local SSD')]/ancestor::div[2]]clicked
2024-05-23 21:34:50 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (8cf9079a-88a9-4e25-982a-7bfd3d54013b)] -> xpath: //span[contains(text(), '2x375 GB')]/ancestor::li]
2024-05-23 21:34:50 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (8cf9079a-88a9-4e25-982a-7bfd3d54013b)] -> xpath: //span[contains(text(), '2x375 GB')]/ancestor::li]clicked
2024-05-23 21:34:50 INFO  :79 - Local SSD '2x375 GB' selected
